,asin,cat,rating,reviews,price,vp,fsa_flg,eff_max_str,eff_fast_acting,eff_long_lasting,eff_non_drowsy,eff_kid,sym_throat,sym_stomach,sym_sneezing,sym_sinus,sym_pain,sym_nose,sym_nausea,sym_nasal,sym_migranie,sym_menstrual,sym_itchy,sym_heart,sym_headache,sym_flu,sym_fever,sym_eyes,sym_digestion,sym_cough,sym_cold,sym_chest,sym_arthritis,sym_allergy,sym_acid,ingre_zinc,ingre_simethicone,ingre_pulsatilla,ingre_phosphorus,ingre_phenylephrine,ingre_perfoliatum,ingre_peppermint,ingre_omeprazole,ingre_naproxen,ingre_menthol,ingre_magnesium,ingre_loratadine,ingre_kali,ingre_ipecacuanha,ingre_ibuprofen,ingre_hydrobromide,ingre_guaifenesin,ingre_gelsemium,ingre_fexofenadine,ingre_famotidine,ingre_eupatorium,ingre_eucalyptus,ingre_esomeprazole,ingre_echinacea,ingre_doxylamine,ingre_diphenhydramine,ingre_dextromethorphan,ingre_chlorpheniramine,ingre_cetirizine,ingre_calcium,ingre_bryonia,ingre_antihistamine,ingre_aluminum,ingre_acetaminophen,count_quant,inch_quant,weight_quant,brand_zyrtec,brand_zicam,brand_zegerid_otc,brand_vicks,brand_tylenol,brand_tums,brand_time_cap_labs_inc,brand_theraflu,brand_rolaids,brand_rite_aid,brand_quality_choice,brand_prilosec,brand_prelief,brand_pepto_bismol,brand_pepcid,brand_nexium,brand_natures_way,brand_mylanta,brand_mucinex,brand_motrin,brand_midol,brand_major,brand_hylands,brand_goodsense,brand_gaviscon,brand_flonase,brand_excedrin,brand_coricidin_hbp,brand_claritin,brand_chloraseptic,brand_boiron,brand_benadryl,brand_amazon_basic_care,brand_allegra,brand_alka_seltzer_plus,brand_alka_seltzer,brand_aleve,brand_airborne,brand_advil,brand_a2z_store,manu_gsk,manu_jj,manu_bayer,manu_rb,manu_perrigo,manu_pg,manu_sanofi,manu_ama,manu_major,manu_rite,manu_boiron,manu_pfizer,manu_hyland,manu_alka,manu_allegiant,manu_prestige,manu_dwight,manu_emc,manu_nw,manu_walmart,manu_kirkland,manu_ohm,manu_reddy,manu_bionpharma,manu_time,country_usa,country_india,country_mexico,country_united_kingdom,country_spain,country_israel,country_france,vp_cat
823,B0006GE3DS,dig,4.7,302,13.06,0.3598774885145482,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
824,B004DY5ZW2,dig,4.8,727,9.43,0.5090137857900318,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
825,B0000AN9L7,dig,4.8,15638,22.98,0.2088772845953002,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,B000PKOPQU,dig,4.8,886,2.48,1.9354838709677415,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
827,B0014D3MGG,dig,4.6,1060,4.69,0.9808102345415776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
828,B095CN18CZ,dig,4.6,11664,7.88,0.583756345177665,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
829,B074F18H4B,dig,4.7,46145,12.99,0.3618167821401077,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
830,B07MBR87NG,dig,4.7,7846,8.78,0.5353075170842825,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
831,B002D4MZ2W,dig,4.7,6347,9.64,0.487551867219917,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
832,B07HD643KR,dig,4.8,7424,10.06,0.4771371769383697,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
